Experiment,Val Best Acc (%),Test Acc (%),Train Time (s)
CONTROL,54.86363636363637,55.242424242424235,750.8564168050002
A_mixup_on,53.85757575757576,54.12424242424242,787.0429369819999
A_ls_off,54.91818181818182,55.336363636363636,736.5439866550005
A_sched_cosine,55.015151515151516,55.348484848484844,757.30418947
A_warmup_on,54.96363636363636,55.08484848484848,751.201491021
A_decay_all_params,54.86363636363637,55.33939393939394,740.5435429300005
A_opt_sgd,12.936363636363636,13.121212121212123,734.7230684059996
A_amp_off,55.121212121212125,55.42727272727272,664.6912580199996
