Experiment,Val Best Acc (%),Test Acc (%),Train Time (s)
GRU_base_h128_L1,49.86363636363637,49.942424242424245,396.52382790499996
GRU_big_h256_L2_do0.3,55.121212121212125,55.448484848484846,921.2831234650002
GRU_bidir_h128_L1,43.36666666666667,43.63939393939394,449.63009582199993
LSTM_base_h128_L1,32.67272727272727,32.621212121212125,403.4276909649998
